origin,destination,airline,duration_min,month,day_of_week,dep_hour,delayed
LHR,CMN,RAM,200,11,2,20,0
LHR,CMN,RAM,204,8,2,7,1
RAK,FCO,RYR,188,6,5,13,1
AGA,STN,RYR,226,11,5,20,1
RAK,STN,RYR,189,4,1,9,0
AGA,CMN,RAM,55,1,4,18,1
CMN,CAI,RAM,206,1,6,10,0
CMN,JFK,RAM,454,8,4,16,1
CDG,RBA,RAM,164,11,3,17,1
CMN,FCO,RAM,179,8,5,5,1
AGA,CMN,RAM,58,6,5,17,0
CMN,CDG,RAM,162,8,3,8,0
AGA,CMN,RAM,53,9,1,20,0
CDG,CMN,RAM,176,9,5,21,1
CMN,RAK,RAM,47,5,5,18,1
RAK,ORY,RAM,167,6,5,19,1
CMN,NDR,RAM,64,1,3,7,0
CMN,LHR,RAM,171,8,1,7,1
ORY,RAK,RAM,167,10,5,16,1
AGA,CMN,RAM,52,7,1,2,0
RAK,ORY,RAM,168,6,2,19,1
RAK,BCN,VLG,131,5,1,12,0
CDG,AGA,RAM,182,8,6,14,1
LHR,RAK,RAM,192,5,3,15,0
RAK,BCN,VLG,138,8,0,17,0
RAK,STN,RYR,215,12,5,6,1
RAK,CMN,RAM,44,5,4,7,0
CDG,CMN,RAM,183,2,5,9,1
CMN,JFK,RAM,459,11,5,20,1
CMN,AGA,RAM,54,5,5,9,0
CMN,RAK,RAM,45,12,1,23,0
LHR,RAK,RAM,219,11,1,10,0
RAK,BCN,VLG,147,6,4,6,1
CMN,JFK,RAM,430,8,5,6,0
MAD,CMN,RAM,127,5,5,20,1
LHR,RAK,RAM,217,2,5,13,0
CMN,TUN,RAM,107,7,3,12,1
RAK,STN,RYR,186,6,0,20,1
CMN,LHR,RAM,179,12,0,14,0
AGA,CMN,RAM,56,8,2,18,1
CMN,OUD,RAM,67,9,6,11,0
AGA,LHR,RAM,213,3,5,20,0
ORY,RAK,RAM,174,9,4,22,0
CMN,YUL,RAM,446,1,6,21,1
FEZ,MAD,IBE,131,8,0,6,0
CDG,AGA,RAM,201,10,4,16,0
CMN,MAD,RAM,124,7,5,11,0
RAK,CMN,RAM,41,4,0,12,1
FEZ,BRU,RAM,184,6,5,4,1
CMN,AGA,RAM,57,11,5,22,1
AGA,ORY,RAM,173,9,4,17,1
STN,RAK,RYR,202,8,6,22,0
CDG,RAK,RAM,174,9,1,5,0
FEZ,CMN,RAM,53,10,6,21,1
CDG,RBA,RAM,177,3,6,14,0
CDG,CMN,RAM,187,11,5,16,0
CMN,CDG,RAM,177,10,6,15,1
CMN,NBO,RAM,405,7,6,15,0
FEZ,BCN,VLG,134,6,4,20,0
CMN,OUD,RAM,62,12,3,16,1
CMN,MAD,RAM,119,10,2,22,1
RAK,STN,RYR,214,12,1,20,0
CMN,NBO,RAM,405,8,4,17,0
AGA,CMN,RAM,54,1,5,15,0
TNG,MAD,RAM,99,3,3,5,0
TNG,MAD,RAM,109,10,5,19,1
LHR,RAK,RAM,195,8,4,5,1
CDG,RAK,RAM,182,4,2,3,0
CMN,JFK,RAM,411,1,4,15,1
CDG,CMN,RAM,183,4,6,19,1
CDG,RBA,RAM,161,3,1,0,0
FEZ,MAD,IBE,132,11,4,21,0
CMN,NDR,RAM,74,11,0,4,1
CMN,NDR,RAM,69,11,5,16,0
RAK,CDG,RYR,186,2,6,13,0
STN,AGA,RYR,226,3,1,14,0
CMN,AGA,RAM,58,3,1,16,1
TNG,BCN,RYR,133,4,0,18,0
CMN,GVA,RAM,174,2,5,16,0
RAK,LHR,RAM,187,12,0,9,1
LHR,CMN,RAM,186,11,6,16,1
CMN,AGA,RAM,52,2,2,23,1
STN,RAK,RYR,214,3,4,13,1
CMN,BRU,RAM,185,4,5,5,0
AGA,CDG,RAM,171,10,1,22,0
RAK,BCN,VLG,138,9,1,6,0
CMN,TUN,RAM,118,8,0,5,0
LHR,CMN,RAM,210,12,5,6,0
AGA,CDG,RAM,196,1,0,17,1
RAK,ORY,RAM,182,3,2,4,0
STN,AGA,RYR,231,3,4,21,1
RAK,ORY,RAM,183,1,5,20,1
TNG,BCN,RYR,131,8,2,11,0
ORY,RAK,RAM,173,4,5,14,0
RAK,CDG,RYR,186,7,3,13,1
RBA,MAD,RAM,101,9,5,3,0
RAK,CDG,RAM,173,8,3,16,0
CMN,MAD,RAM,115,5,6,11,0
CMN,CDG,RAM,168,6,2,0,0
AGA,STN,RYR,207,5,5,12,0
RAK,BCN,VLG,130,11,4,11,1
AGA,LHR,RAM,204,6,5,10,1
CMN,AMS,RAM,182,2,6,15,1
CMN,MAD,RAM,110,8,6,12,0
CMN,CDG,RAM,172,4,4,16,1
CMN,ABJ,RAM,252,5,2,21,0
RAK,STN,RYR,186,5,0,11,0
RAK,CDG,RAM,167,2,1,15,0
RAK,LHR,RAM,191,12,1,16,1
RAK,CMN,RAM,42,7,1,18,1
CMN,ABJ,RAM,264,3,6,8,1
RAK,BCN,RAM,129,7,4,10,1
FEZ,CDG,RAM,182,7,3,6,0
RAK,CDG,RAM,181,5,1,22,1
RAK,BCN,VLG,139,7,4,15,1
CDG,RBA,RAM,178,8,6,17,1
CMN,AGA,RAM,51,4,1,16,0
CMN,MAD,RAM,112,7,2,13,1
FEZ,CMN,RAM,49,10,5,4,0
RAK,MAD,RAM,139,4,6,9,1
CMN,MRS,RAM,138,7,4,19,0
LHR,RAK,RAM,192,12,5,8,1
CMN,TNG,RAM,52,10,0,22,1
RAK,MAD,RAM,127,8,4,16,1
CMN,IAD,RAM,413,9,0,18,0
RAK,BCN,VLG,148,7,6,14,1
CMN,FRA,RAM,198,12,4,9,1
CMN,LHR,RAM,184,3,1,19,1
LHR,CMN,RAM,210,9,6,8,0
LHR,CMN,RAM,201,1,5,17,1
CMN,MAD,RAM,121,3,2,16,0
CMN,MAD,RAM,110,9,0,11,0
RAK,FCO,RYR,199,9,4,6,1
MAD,CMN,RAM,123,1,4,6,1
CMN,ABJ,RAM,245,5,2,7,0
CMN,RAK,RAM,41,2,4,23,0
RAK,MAD,RAM,134,11,1,14,0
AGA,CDG,RAM,182,7,6,19,1
MAD,CMN,RAM,120,6,3,13,0
MAD,CMN,RAM,116,10,1,18,0
CDG,CMN,RAM,184,9,6,19,0
MAD,CMN,RAM,117,12,3,21,1
CMN,JFK,RAM,460,12,5,21,0
MAD,CMN,RAM,118,5,4,7,0
CMN,LHR,RAM,190,8,1,11,0
LHR,CMN,RAM,210,7,3,21,1
LHR,RAK,RAM,194,8,5,4,0
BCN,CMN,RAM,143,8,1,7,1
CMN,ALG,RAM,110,2,4,17,0
RAK,BCN,RAM,140,11,4,18,0
CDG,AGA,RAM,181,3,6,21,0
CDG,CMN,RAM,177,6,4,11,0
FEZ,ORY,RAM,154,5,6,9,1
RAK,BCN,VLG,139,7,6,10,0
CMN,LHR,RAM,188,12,3,20,1
RBA,MAD,RAM,115,6,0,8,0
CMN,FEZ,RAM,52,8,6,6,1
CDG,CMN,RAM,178,3,1,6,0
CMN,JFK,RAM,411,7,4,8,0
FEZ,BCN,VLG,144,12,0,20,1
AGA,STN,RYR,219,12,6,12,0
MAD,CMN,RAM,126,7,0,23,0
BCN,CMN,RAM,135,10,2,22,0
CMN,CAI,RAM,202,1,6,18,1
RAK,MAD,RAM,125,7,1,14,0
RAK,BCN,VLG,147,9,5,8,1
CMN,CAI,RAM,203,5,4,21,1
LHR,RAK,RAM,189,11,0,19,1
AGA,STN,RYR,211,10,6,12,0
CDG,CMN,RAM,180,10,0,4,0
CMN,GVA,RAM,178,1,5,15,0
AGA,LHR,RAM,202,3,3,16,1
CMN,RAK,RAM,46,9,0,21,1
RAK,BCN,RAM,133,8,3,18,0
